Title,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,License
The Blair Witch Project,Artisan Entertainment,16-Jul-99,140539099,108100000,248639099,Horror,R
Ghostbusters,Columbia Pictures,8-Jun-84,243578797,53000000,296578797,Action|Comedy|Fantasy|Sci-Fi,NA
Tootsie,Columbia Pictures,17-Dec-82,177200000,177200000,177200000,Comedy|Drama|Romance,NA
A Few Good Men,Columbia Pictures,11-Dec-92,141340178,101900000,243240178,Drama|Thriller,R
Stripes,Columbia Pictures,NA,85297000,85297000,85297000,Action|Comedy|War,NA
Spy Kids 3-D: Game Over,Dimension Films,25-Jul-03,111761982,85339696,197101678,Action|Adventure|Comedy|Family|Sci-Fi,PG
Scary Movie 3,Dimension Films,24-Oct-03,110003217,110670000,220673217,Comedy,PG-13
Scream,Dimension Films,20-Dec-96,103046663,70000000,173046663,Horror|Mystery,R
Scream 2,Dimension Films,12-Dec-97,101363301,71000000,172363301,Horror|Mystery,R
Scary Movie 4,Dimension Films,12-Apr-06,90710620,87552000,178262620,Comedy,PG-13
Scream 3,Dimension Films,4-Feb-00,89143175,72691101,161834276,Horror|Mystery,R
Spy Kids 2: Island of Lost Dreams,Dimension Films,7-Aug-02,85846429,33876929,119723358,Action|Adventure|Comedy|Family|Sci-Fi,PG
Transformers: Revenge of the Fallen,DreamWorks,19-Jun-09,402111870,434191823,836303693,Action|Adventure|Sci-Fi,PG-13
Transformers: Dark of the Moon,DreamWorks,29-Jun-11,352390543,771403536,1123794079,Action|Adventure|Sci-Fi,PG-13
Shrek the Third,DreamWorks,17-May-07,322719944,490647436,813367380,Adventure|Animation|Comedy|Family|Fantasy,PG
Transformers,DreamWorks,28-Jun-07,319246193,390463587,709709780,Action|Adventure|Sci-Fi,PG-13
Shrek Forever After,DreamWorks,20-May-10,238736787,513864080,752600867,Adventure|Animation|Comedy|Family|Fantasy,PG
How to Train Your Dragon,DreamWorks,18-Mar-10,217581231,277298240,494879471,Adventure|Animation|Family|Fantasy,PG
Madagascar 3: Europe's Most Wanted,DreamWorks,6-Jun-12,216391482,530529792,746921274,Adventure|Animation|Comedy|Family,PG
Kung Fu Panda,DreamWorks,5-Jun-08,215434591,416311606,631746197,Action|Adventure|Animation|Comedy|Family,PG
Madagascar: Escape 2 Africa,DreamWorks,30-Oct-08,180010950,423889404,603900354,Action|Adventure|Animation|Comedy|Family,PG
Kung Fu Panda 2,DreamWorks,26-May-11,165249063,500443218,665692281,Action|Adventure|Animation|Comedy|Family,PG
Over the Hedge,DreamWorks,NA,155019340,184776550,339795890,Adventure|Animation|Comedy|Family,NA
Puss in Boots,DreamWorks,27-Oct-11,149260504,405726973,554987477,Action|Adventure|Animation|Comedy|Family|Fantasy,PG
Megamind,DreamWorks,28-Oct-10,148415853,173469912,321885765,Action|Animation|Comedy|Family|Sci-Fi,PG
Bee Movie,DreamWorks,1-Nov-07,126631277,166883059,293514336,Adventure|Animation|Comedy|Family,PG
Blades of Glory,DreamWorks,30-Mar-07,118594548,27115799,145710347,Comedy|Sport,PG-13
Tropic Thunder,DreamWorks,13-Aug-08,110515313,85187650,195702963,Action|Comedy,R
Rise of the Guardians,DreamWorks,21-Nov-12,103412758,203528912,306941670,Adventure|Animation|Family|Fantasy,PG
Dreamgirls,DreamWorks,NA,103365956,52064379,155430335,Drama|Music|Musical,NA
Eagle Eye,DreamWorks,25-Sep-08,101440743,77326640,178767383,Action|Mystery|Thriller,PG-13
Shrek 2,DreamWorks,19-May-04,441226247,487534523,928760770,Adventure|Animation|Comedy|Family|Fantasy|Romance,PG
Shrek,DreamWorks,16-May-01,267665011,220188309,487853320,Adventure|Animation|Comedy|Family|Fantasy,PG
Saving Private Ryan,DreamWorks,24-Jul-98,217049603,265300000,482349603,Action|Drama|War,R
Madagascar,DreamWorks,NA,193595521,348468325,542063846,Adventure|Animation|Comedy|Family,NA
Gladiator,DreamWorks,4-May-00,187705427,277675375,465380802,Action|Drama|Romance,R
Catch Me If You Can,DreamWorks,25-Dec-02,164615351,187498961,352114312,Biography|Crime|Drama,PG-13
Shark Tale,DreamWorks,23-Sep-04,160861908,213721971,374583879,Adventure|Animation|Comedy|Family,PG
What Lies Beneath,DreamWorks,21-Jul-00,155464351,135956000,291420351,Drama|Fantasy|Horror|Mystery|Thriller,PG-13
American Beauty,DreamWorks,15-Sep-99,130096601,226200000,356296601,Drama,R
Chicken Run,DreamWorks,23-Jun-00,106834564,118000000,224834564,Adventure|Animation|Comedy|Drama|Family,NA
Road to Perdition,DreamWorks,12-Jul-02,104454762,76546716,181001478,Crime|Drama|Thriller,R
The Prince of Egypt,DreamWorks,18-Dec-98,101413188,117200000,218613188,Adventure|Animation|Biography|Drama|Family|Fantasy|Musical,PG
Collateral,DreamWorks,5-Aug-04,101005703,119234222,220239925,Crime|Drama|Thriller,R
The Haunting,DreamWorks,23-Jul-99,91411151,85900000,177311151,Fantasy|Horror|Mystery|Thriller,PG-13
Antz,DreamWorks,2-Oct-98,90757863,81000000,171757863,Adventure|Animation|Comedy|Family,PG
Anchorman: The Legend of Ron Burgundy,DreamWorks,9-Jul-04,85288303,5421064,90709367,Comedy,PG-13
Olympus Has Fallen,FilmDistrict,20-Mar-13,98925640,71344561,170270201,Action|Thriller,R
Insidious: Chapter 2,FilmDistrict,13-Sep-13,83586447,78332871,161919318,Fantasy|Horror|Thriller,PG-13
Brokeback Mountain,Focus Features,9-Dec-05,83043761,95018998,178062759,Drama|Romance,R
Juno,Fox Searchlight Pictures,5-Dec-07,143495265,88877416,232372681,Comedy|Drama|Romance,PG-13
Slumdog Millionaire,Fox Searchlight Pictures,12-Nov-08,141319928,237090614,378410542,Drama|Romance,R
Black Swan,Fox Searchlight Pictures,3-Dec-10,106954678,222443368,329398046,Drama|Thriller,R
The Descendants,Fox Searchlight Pictures,NA,82584160,94659025,177243185,Comedy|Drama,NA
My Big Fat Greek Wedding,IFC Films,19-Apr-02,241438208,127305836,368744044,Comedy|Family|Romance,PG
The Hunger Games: Catching Fire,Lionsgate,15-Nov-13,424668047,440343699,865011746,Adventure|Sci-Fi|Thriller,PG-13
The Hunger Games,Lionsgate,8-Mar-12,408010692,286384032,694394724,Adventure|Drama|Sci-Fi|Thriller,PG-13
The Hunger Games: Mockingjay - Part 1,Lionsgate,19-Nov-14,337135885,418220826,755356711,Adventure|Sci-Fi|Thriller,PG-13
The Twilight Saga: Breaking Dawn - Part 2,Lionsgate,14-Nov-12,292324737,537422917,829747654,Adventure|Drama|Fantasy|Romance,PG-13
The Hunger Games: Mockingjay - Part 2,Lionsgate,18-Nov-15,281723902,376620235,658344137,Adventure|Sci-Fi,PG-13
Divergent,Lionsgate,20-Mar-14,150947895,137937923,288885818,Adventure|Mystery|Sci-Fi,PG-13
Fahrenheit 9/11,Lionsgate,23-Jun-04,119194771,103252111,222446882,Documentary|Drama|War,R
Now You See Me,Lionsgate,29-May-13,117723989,234000000,351723989,Crime|Mystery|Thriller,PG-13
The Expendables,Lionsgate,12-Aug-10,103068524,171401870,274470394,Action|Adventure|Thriller,R
Madea Goes to Jail,Lionsgate,NA,90508336,90508336,90508336,Comedy|Crime|Drama,NA
Saw II,Lionsgate,28-Oct-05,87039965,60708540,147748505,Horror|Mystery,R
The Expendables 2,Lionsgate,15-Aug-12,85028192,229947763,314975955,Action|Adventure|Thriller,R
Rain Man,Metro-Goldwyn-Mayer (MGM),16-Dec-88,172825435,182000000,354825435,Drama,NA
Die Another Day,Metro-Goldwyn-Mayer (MGM),20-Nov-02,160942139,271028977,431971116,Action|Adventure|Thriller,PG-13
The World Is Not Enough,Metro-Goldwyn-Mayer (MGM),19-Nov-99,126943684,234888716,361832400,Action|Adventure|Thriller,PG-13
Tomorrow Never Dies,Metro-Goldwyn-Mayer (MGM),NA,125304276,207706792,333011068,Action|Adventure|Thriller,NA
GoldenEye,Metro-Goldwyn-Mayer (MGM),NA,106429941,245764093,352194034,Action|Adventure|Thriller,NA
Legally Blonde,Metro-Goldwyn-Mayer (MGM),13-Jul-01,96520674,45254005,141774679,Comedy|Romance,NA
"Legally Blonde 2: Red, White & Blonde",Metro-Goldwyn-Mayer (MGM),2-Jul-03,90186328,34728514,124914842,Comedy,PG-13
Apocalypse Now,Metro-Goldwyn-Mayer (MGM),NA,83471511,8686553,92158064,Drama|War,NA
Chicago,Miramax,26-Feb-02,170687518,136089214,306776732,Comedy|Crime|Musical,PG-13
Good Will Hunting,Miramax,NA,138433435,87500000,225933435,Drama,NA
Spy Kids,Miramax,30-Mar-01,112719001,35215179,147934180,Action|Adventure|Comedy|Family|Sci-Fi,PG
Pulp Fiction,Miramax,14-Oct-94,107928762,106000000,213928762,Crime|Drama,R
The Aviator,Miramax,17-Dec-04,102610330,111109612,213719942,Biography|Drama,PG-13
Shakespeare in Love,Miramax,11-Dec-98,100317794,189000000,289317794,Comedy|Drama|Romance,R
The Others,Miramax,10-Aug-01,96522687,113424350,209947037,Fantasy|Horror|Thriller,PG-13
Cold Mountain,Miramax,25-Dec-03,95636509,77377000,173013509,Adventure|Drama|History|Romance|War,R
The Lord of the Rings: The Return of the King,New Line Cinema,17-Dec-03,377845905,768185007,1146030912,Action|Adventure|Drama|Fantasy,PG-13
The Lord of the Rings: The Two Towers,New Line Cinema,18-Dec-02,342551365,604943730,947495095,Action|Adventure|Drama|Fantasy,PG
The Lord of the Rings: The Fellowship of the Ring,New Line Cinema,19-Dec-01,315710750,581979322,897690072,Action|Adventure|Drama|Fantasy,PG-13
Rush Hour 2,New Line Cinema,3-Aug-01,226164286,121161516,347325802,Action|Comedy|Crime|Thriller,PG-13
Austin Powers in Goldmember,New Line Cinema,26-Jul-02,213307889,83630912,296938801,Action|Comedy|Crime,PG-13
Austin Powers: The Spy Who Shagged Me,New Line Cinema,11-Jun-99,206040086,105976842,312016928,Action|Adventure|Comedy|Crime,PG-13
Elf,New Line Cinema,7-Nov-03,176630408,47223328,223853736,Comedy|Family|Fantasy|Romance,PG
Rush Hour 3,New Line Cinema,8-Aug-07,140125968,117971154,258097122,Action|Comedy|Crime|Thriller,PG-13
Teenage Mutant Ninja Turtles,New Line Cinema,30-Mar-90,135265915,66700000,201965915,Action|Adventure|Comedy|Sci-Fi,NA
The Mask,New Line Cinema,29-Jul-94,119938730,231644677,351583407,Action|Comedy|Crime|Fantasy,PG-13
Hairspray,New Line Cinema,NA,118871849,84681462,203553311,Comedy|Drama|Family|Music|Musical|Romance,NA
Se7en,New Line Cinema,22-Sep-95,100125643,227207916,327333559,Crime|Drama|Mystery|Thriller,R
Monster-in-Law,New Line Cinema,13-May-05,82931301,72526026,155457327,Comedy|Romance,PG-13
Freddy vs. Jason,New Line Cinema,14-Aug-03,82622655,34009973,116632628,Action|Horror|Thriller,R
Blade II,New Line Cinema,22-Mar-02,82348319,72661713,155010032,Action|Horror|Sci-Fi|Thriller,R
The Notebook,New Line Cinema,25-Jun-04,81001787,36813370,117815157,Drama|Romance,PG-13
The Passion of the Christ,Newmarket Films,25-Feb-04,370782930,241271576,612054506,Drama,R
Dances with Wolves,Orion Pictures,9-Nov-90,184208848,240000000,424208848,Adventure|Drama|Western,NA
Platoon,Orion Pictures,19-Dec-86,138530565,15067,138545632,Drama|War,NA
The Silence of the Lambs,Orion Pictures,14-Feb-91,130742922,142000000,272742922,Crime|Drama|Horror|Thriller,NA
Titanic,Paramount Pictures,19-Dec-97,659363944,1542283320,2201647264,Drama|Romance,PG-13
Forrest Gump,Paramount Pictures,6-Jul-94,330455270,347770863,678226133,Comedy|Drama,PG-13
Iron Man,Paramount Pictures,30-Apr-08,319034126,266762121,585796247,Action|Adventure|Sci-Fi,PG-13
Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures,21-May-08,317101119,473552823,790653942,Action|Adventure|Fantasy,PG-13
Iron Man 2,Paramount Pictures,28-Apr-10,312433331,311500000,623933331,Action|Adventure|Sci-Fi,PG-13
Star Trek,Paramount Pictures,6-May-09,257730019,127950427,385680446,Action|Adventure|Sci-Fi,PG-13
Transformers: Age of Extinction,Paramount Pictures,25-Jun-14,245439076,858614996,1104054072,Action|Adventure|Sci-Fi,PG-13
War of the Worlds,Paramount Pictures,29-Jun-05,234280354,369592765,603873119,Adventure|Sci-Fi|Thriller,PG-13
Star Trek Into Darkness,Paramount Pictures,8-May-13,228778661,238586585,467365246,Action|Adventure|Sci-Fi,PG-13
Ghost,Paramount Pictures,13-Jul-90,217631306,288072251,505703557,Drama|Fantasy|Romance|Thriller,NA
Mission: Impossible II,Paramount Pictures,24-May-00,215409889,330978219,546388108,Action|Adventure|Thriller,PG-13
Mission: Impossible - Ghost Protocol,Paramount Pictures,14-Dec-11,209397903,485315477,694713380,Action|Adventure|Thriller,PG-13
World War Z,Paramount Pictures,19-Jun-13,202807711,337648165,540455876,Action|Adventure|Horror|Sci-Fi|Thriller,PG-13
Indiana Jones and the Last Crusade,Paramount Pictures,24-May-89,197171806,277000000,474171806,Action|Adventure|Fantasy,PG-13
Mission: Impossible - Rogue Nation,Paramount Pictures,24-Jul-15,195042377,487674259,682716636,Action|Adventure|Thriller,PG-13
Teenage Mutant Ninja Turtles,Paramount Pictures,7-Aug-14,191204754,293800000,485004754,Action|Adventure|Comedy|Sci-Fi,PG-13
Grease,Paramount Pictures,16-Jun-78,190071103,206200000,396271103,Musical|Romance,PG
Interstellar,Paramount Pictures,5-Nov-14,188020017,513709189,701729206,Adventure|Drama|Sci-Fi,PG-13
What Women Want,Paramount Pictures,15-Dec-00,182811707,191300000,374111707,Comedy|Fantasy|Romance,PG-13
Thor,Paramount Pictures,21-Apr-11,181030624,268295994,449326618,Action|Adventure|Fantasy,PG-13
Mission: Impossible,Paramount Pictures,22-May-96,180981856,276714535,457696391,Action|Adventure|Thriller,PG-13
Indiana Jones and the Temple of Doom,Paramount Pictures,23-May-84,179870271,153237000,333107271,Action|Adventure,NA
Captain America: The First Avenger,Paramount Pictures,22-Jul-11,176654505,193915269,370569774,Action|Adventure|Sci-Fi,PG-13
True Grit,Paramount Pictures,22-Dec-10,171243005,81033922,252276927,Adventure|Drama|Western,PG-13
The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,28-Jan-15,162994032,162192000,325186032,Adventure|Animation|Comedy|Family|Fantasy,PG
The Firm,Paramount Pictures,NA,158348367,111900000,270248367,Drama|Mystery|Thriller,NA
The Longest Yard,Paramount Pictures,27-May-05,158119460,33347096,191466556,Comedy|Crime|Sport,PG-13
Runaway Bride,Paramount Pictures,30-Jul-99,152257509,157202783,309460292,Comedy|Romance,PG
Daddy's Home,Paramount Pictures,NA,150357137,92429000,242786137,Comedy|Family,NA
G.I. Joe: The Rise of Cobra,Paramount Pictures,5-Aug-09,150201498,152267519,302469017,Action|Adventure|Sci-Fi|Thriller,PG-13
Deep Impact,Paramount Pictures,NA,140464664,209000000,349464664,Action|Drama|Romance|Sci-Fi|Thriller,NA
The Godfather,Paramount Pictures,15-Mar-72,134966411,111154575,246120986,Crime|Drama,NA
Mission: Impossible III,Paramount Pictures,3-May-06,134029801,264449696,398479497,Action|Adventure|Thriller,PG-13
The Last Airbender,Paramount Pictures,1-Jul-10,131772187,187941694,319713881,Action|Adventure|Family|Fantasy,PG
Lara Croft: Tomb Raider,Paramount Pictures,15-Jun-01,131168070,143535270,274703340,Action|Adventure|Fantasy|Thriller,PG-13
Shutter Island,Paramount Pictures,18-Feb-10,128012934,166792763,294805697,Mystery|Thriller,R
The Curious Case of Benjamin Button,Paramount Pictures,25-Dec-08,127509326,208293460,335802786,Drama|Fantasy|Romance,PG-13
Anchorman 2: The Legend Continues,Paramount Pictures,18-Dec-13,127352707,46297224,173649931,Comedy,PG-13
Super 8,Paramount Pictures,9-Jun-11,127004179,133091807,260095986,Mystery|Sci-Fi|Thriller,PG-13
The Truman Show,Paramount Pictures,NA,125618201,138500000,264118201,Comedy|Drama|Sci-Fi,NA
Rango,Paramount Pictures,2-Mar-11,123477607,122246996,245724603,Adventure|Animation|Comedy|Family|Western,PG
G.I. Joe: Retaliation,Paramount Pictures,27-Mar-13,122523060,253217645,375740705,Action|Adventure|Sci-Fi|Thriller,PG-13
Clear and Present Danger,Paramount Pictures,5-Aug-94,122187717,93700000,215887717,Action|Crime|Drama|Thriller,PG-13
The Hunt for Red October,Paramount Pictures,2-Mar-90,122012643,78500000,200512643,Action|Adventure|Thriller,NA
Wayne's World,Paramount Pictures,14-Feb-92,121697323,61400000,183097323,Comedy|Music,PG-13
The Sum of All Fears,Paramount Pictures,31-May-02,118907036,75014336,193921372,Action|Drama|Thriller,PG-13
Jackass 3D,Paramount Pictures,15-Oct-10,117229692,54456100,171685792,Action|Comedy|Documentary,R
The Wolf of Wall Street,Paramount Pictures,25-Dec-13,116900694,275100000,392000694,Biography|Comedy|Crime|Drama,R
Double Jeopardy,Paramount Pictures,24-Sep-99,116741558,61100000,177841558,Crime|Mystery|Thriller,R
The Addams Family,Paramount Pictures,22-Nov-91,113502426,78000000,191502426,Comedy|Fantasy,NA
Face/Off,Paramount Pictures,27-Jun-97,112276146,133400000,245676146,Action|Crime|Sci-Fi|Thriller,R
Star Trek IV: The Voyage Home,Paramount Pictures,NA,109713132,109713132,109713132,Adventure|Comedy|Sci-Fi,NA
Paranormal Activity,Paramount Pictures,25-Sep-09,107918810,85436990,193355800,Horror,R
The Italian Job,Paramount Pictures,30-May-03,106128601,69941570,176070171,Action|Crime|Thriller,PG-13
How to Lose a Guy in 10 Days,Paramount Pictures,NA,105813373,71689014,177502387,Comedy|Romance,NA
The First Wives Club,Paramount Pictures,NA,105489203,76000000,181489203,Comedy,NA
Paranormal Activity 3,Paramount Pictures,19-Oct-11,104028807,103011037,207039844,Horror,R
The General's Daughter,Paramount Pictures,18-Jun-99,102705852,47000000,149705852,Drama|Mystery|Thriller,R
Noah,Paramount Pictures,20-Mar-14,101200044,258000000,359200044,Action|Adventure|Drama,PG-13
Vanilla Sky,Paramount Pictures,14-Dec-01,100618344,102769997,203388341,Fantasy|Mystery|Romance|Sci-Fi|Thriller,R
The Rugrats Movie,Paramount Pictures,20-Nov-98,100494675,40400000,140894675,Adventure|Animation|Comedy|Drama|Family|Musical,NA
Flight,Paramount Pictures,2-Nov-12,93772375,68000000,161772375,Drama|Thriller,R
The Fighter,Paramount Pictures,20-Nov-09,93617009,35573860,129190869,Biography|Drama|Sport,R
Star Trek: First Contact,Paramount Pictures,NA,92027888,54000000,146027888,Action|Adventure|Drama|Sci-Fi|Thriller,NA
Save the Last Dance,Paramount Pictures,NA,91057006,40649803,131706809,Drama|Music|Romance,NA
Terminator Genisys,Paramount Pictures,25-Jun-15,89760956,350842581,440603537,Action|Adventure|Sci-Fi,PG-13
Failure to Launch,Paramount Pictures,9-Mar-06,88715192,41508966,130224158,Comedy|Romance,PG-13
The Naked Gun 2½: The Smell of Fear,Paramount Pictures,28-Jun-91,86930411,86930411,86930411,Comedy|Crime,NA
Mean Girls,Paramount Pictures,30-Apr-04,86058055,44068222,130126277,Comedy,PG-13
The SpongeBob SquarePants Movie,Paramount Pictures,19-Nov-04,85417988,55649139,141067127,Adventure|Animation|Comedy|Family|Fantasy,PG
Paranormal Activity 2,Paramount Pictures,20-Oct-10,84752907,92759125,177512032,Horror,R
Up in the Air,Paramount Pictures,4-Dec-09,83823381,83019358,166842739,Drama|Romance,R
Patriot Games,Paramount Pictures,5-Jun-92,83351587,94700000,178051587,Action|Thriller,R
Charlotte's Web,Paramount Pictures,7-Dec-06,82985708,65978114,148963822,Comedy|Family|Fantasy,G
Star Trek: The Motion Picture,Paramount Pictures,7-Dec-79,82604699,82604699,82604699,Adventure|Mystery|Sci-Fi,G
Beowulf,Paramount Pictures,14-Nov-07,82280579,114113166,196393745,Action|Adventure|Animation|Fantasy,PG-13
Payback,Paramount Pictures,5-Feb-99,81526121,80100000,161626121,Action|Crime|Drama|Thriller,R
The Talented Mr. Ripley,Paramount Pictures,25-Dec-99,81298265,47501244,128799509,Crime|Drama|Thriller,R
Congo,Paramount Pictures,NA,81022101,71000000,152022101,Action|Adventure|Mystery|Sci-Fi,NA
Jimmy Neutron: Boy Genius,Paramount Pictures,21-Dec-01,80936232,22056304,102992536,Action|Adventure|Animation|Comedy|Family|Sci-Fi,NA
Immortals,Relativity Media,10-Nov-11,83504017,143400000,226904017,Action|Drama|Fantasy|Romance,R
xXx,Revolution Studios,9-Aug-02,142109382,135339000,277448382,Action|Adventure|Thriller,PG-13
Click,Revolution Studios,22-Jun-06,137355633,103329693,240685326,Comedy|Drama|Fantasy|Romance,PG-13
Black Hawk Down,Revolution Studios,28-Dec-01,108638745,64350906,172989651,Drama|History|War,R
Daddy Day Care,Revolution Studios,9-May-03,104297061,60136806,164433867,Comedy|Family,PG
Maid in Manhattan,Revolution Studios,13-Dec-02,94011225,60895468,154906693,Comedy|Drama|Romance,PG-13
America's Sweethearts,Revolution Studios,20-Jul-01,93607673,44700000,138307673,Comedy|Romance,PG-13
Are We There Yet?,Revolution Studios,21-Jan-05,82674398,15244265,97918663,Adventure|Comedy|Family|Romance,PG
The Vow,Screen Gems,9-Feb-12,125014030,71100540,196114570,Drama|Romance,PG-13
Think Like a Man,Screen Gems,20-Apr-12,91547205,4523302,96070507,Comedy|Romance,PG-13
Spider-Man,Sony Pictures,3-May-02,407022860,418002176,825025036,Action|Adventure|Fantasy|Romance,PG-13
Spider-Man 2,Sony Pictures,30-Jun-04,373585825,415390628,788976453,Action|Adventure|Fantasy|Romance,PG-13
Spider-Man 3,Sony Pictures,1-May-07,336530303,558453070,894983373,Action|Adventure|Romance,PG-13
Skyfall,Sony Pictures,25-Oct-12,304360277,804209222,1108569499,Action|Adventure|Thriller,PG-13
The Amazing Spider-Man,Sony Pictures,28-Jun-12,262030663,495900000,757930663,Action|Adventure|Fantasy,PG-13
Men in Black,Sony Pictures,2-Jul-97,250690539,338700000,589390539,Adventure|Comedy|Family|Mystery|Sci-Fi,PG-13
Hancock,Sony Pictures,2-Jul-08,227946274,401497154,629443428,Action|Drama,PG-13
The Da Vinci Code,Sony Pictures,17-May-06,217536138,542470807,760006945,Mystery|Thriller,PG-13
The Amazing Spider-Man 2,Sony Pictures,NA,202853933,506128390,708982323,Action|Adventure|Fantasy|Sci-Fi,NA
Spectre,Sony Pictures,26-Oct-15,200074609,680606910,880681519,Action|Adventure|Thriller,PG-13
Men in Black II,Sony Pictures,3-Jul-02,193735288,251400000,445135288,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,PG-13
22 Jump Street,Sony Pictures,5-Jun-14,191719337,139614539,331333876,Action|Comedy|Crime,R
Hitch,Sony Pictures,11-Feb-05,179495555,192098655,371594210,Comedy|Romance,PG-13
Men in Black 3,Sony Pictures,23-May-12,179020854,445005922,624026776,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,PG-13
The Karate Kid,Sony Pictures,10-Jun-10,176591618,182534404,359126022,Action|Drama|Family|Sport,PG
Air Force One,Sony Pictures,25-Jul-97,172956409,142200000,315156409,Action|Adventure|Drama|Thriller,R
Hotel Transylvania 2,Sony Pictures,21-Sep-15,169700110,305486596,475186706,Animation|Comedy|Family|Fantasy,PG
Quantum of Solace,Sony Pictures,31-Oct-08,168368427,421212055,589580482,Action|Adventure,PG-13
Casino Royale,Sony Pictures,15-Nov-06,167445960,449056952,616502912,Action|Adventure|Thriller,PG-13
2012,Sony Pictures,11-Nov-09,166112167,625105659,791217826,#N/A,PG-13
The Pursuit of Happyness,Sony Pictures,15-Dec-06,163566459,143561166,307127625,Biography|Drama,PG-13
Big Daddy,Sony Pictures,25-Jun-99,163479795,71322100,234801895,Comedy|Drama,PG-13
Grown Ups,Sony Pictures,24-Jun-10,162001186,109456115,271457301,Comedy,PG-13
Jerry Maguire,Sony Pictures,13-Dec-96,153952592,119600000,273552592,Comedy|Drama|Romance|Sport,R
American Hustle,Sony Pictures,12-Dec-13,150117807,101054000,251171807,Crime|Drama,R
As Good as It Gets,Sony Pictures,23-Dec-97,148478011,165700000,314178011,Comedy|Drama|Romance,PG-13
Hotel Transylvania,Sony Pictures,20-Sep-12,148313048,210062555,358375603,Animation|Comedy|Family|Fantasy,PG
Talladega Nights: The Ballad of Ricky Bobby,Sony Pictures,4-Aug-06,148213377,15148718,163362095,Action|Comedy|Sport,PG-13
Paul Blart: Mall Cop,Sony Pictures,16-Jan-09,146336178,37012251,183348429,Action|Comedy|Crime,PG
The Smurfs,Sony Pictures,27-Jul-11,142614158,421135165,563749323,Adventure|Animation|Comedy|Family|Fantasy,PG
Stuart Little,Sony Pictures,17-Dec-99,140035367,160100000,300135367,Adventure|Comedy|Family|Fantasy,PG
Bad Boys II,Sony Pictures,18-Jul-03,138608444,134731112,273339556,Action|Comedy|Crime|Thriller,R
21 Jump Street,Sony Pictures,15-Mar-12,138447667,63137661,201585328,Action|Comedy|Crime,R
Grown Ups 2,Sony Pictures,11-Jul-13,133668525,113315753,246984278,Comedy,PG-13
Angels & Demons,Sony Pictures,13-May-09,133375846,352554970,485930816,Mystery|Thriller,PG-13
Ghostbusters,Sony Pictures,11-Jul-16,128350574,100796935,229147509,Action|Comedy|Fantasy|Sci-Fi,PG-13
My Best Friend's Wedding,Sony Pictures,20-Jun-97,127120029,172168576,299288605,Comedy|Romance,PG-13
Mr. Deeds,Sony Pictures,28-Jun-02,126293452,44976083,171269535,Comedy|Romance,PG-13
Charlie's Angels,Sony Pictures,3-Nov-00,125305545,138800000,264105545,Action|Adventure|Comedy|Crime|Thriller,PG-13
Cloudy with a Chance of Meatballs,Sony Pictures,16-Sep-09,124870275,118135851,243006126,Animation|Comedy|Family|Sci-Fi,PG
Something's Gotta Give,Sony Pictures,12-Dec-03,124728738,140600000,265328738,Comedy|Drama|Romance,PG-13
Superbad,Sony Pictures,17-Aug-07,121463226,49349300,170812526,Comedy,R
50 First Dates,Sony Pictures,13-Feb-04,120908074,77612860,198520934,Comedy|Romance,PG-13
Cloudy with a Chance of Meatballs 2,Sony Pictures,26-Sep-13,119793567,154532382,274325949,Animation|Comedy|Family|Fantasy|Sci-Fi,PG
Total Recall,Sony Pictures,1-Jun-90,119412921,141905000,261317921,Action|Sci-Fi,NA
The Other Guys,Sony Pictures,6-Aug-10,119219978,51238944,170458922,Action|Comedy|Crime,PG-13
Salt,Sony Pictures,21-Jul-10,118311368,175191986,293503354,Action|Crime|Mystery|Thriller,PG-13
S.W.A.T.,Sony Pictures,8-Aug-03,116934650,90790989,207725639,Action|Adventure|Crime|Thriller,PG-13
Ghost Rider,Sony Pictures,14-Feb-07,115802596,112935797,228738393,Action|Fantasy|Thriller,PG-13
The Patriot,Sony Pictures,28-Jun-00,113330342,101964000,215294342,Action|Drama|History|War,R
The Grudge,Sony Pictures,22-Oct-04,110359362,76921753,187281115,Horror|Mystery|Thriller,PG-13
Fun with Dick and Jane,Sony Pictures,21-Dec-05,110332737,94349162,204681899,Comedy|Crime,PG-13
Little Women,Sony Pictures,25-Dec-19,108101214,108500000,216601214,Drama|Family|Romance,PG
A League of Their Own,Sony Pictures,1-Jul-92,107533928,24906141,132440069,Comedy|Drama|Sport,PG
Captain Phillips,Sony Pictures,11-Oct-13,107100855,111690956,218791811,Biography|Drama|Thriller,PG-13
Just Go with It,Sony Pictures,9-Feb-11,103028109,111917482,214945591,Comedy|Romance,PG-13
The Girl with the Dragon Tattoo,Sony Pictures,21-Dec-11,102515793,130101637,232617430,Crime|Drama|Mystery|Thriller,R
The Equalizer,Sony Pictures,24-Sep-14,101530738,90800000,192330738,Action|Crime|Thriller,R
This Is the End,Sony Pictures,12-Jun-13,101470202,24571120,126041322,Comedy|Fantasy,R
Charlie's Angels: Full Throttle,Sony Pictures,26-Jun-03,100830111,158345677,259175788,Action|Adventure|Comedy|Crime,PG-13
